Date,Start of Year,Start of Quarter,Start of Month
5/13/13,1/1/13,4/1/13,5/1/13
5/14/13,1/1/13,4/1/13,5/1/13
5/15/13,1/1/13,4/1/13,5/1/13
5/16/13,1/1/13,4/1/13,5/1/13
5/17/13,1/1/13,4/1/13,5/1/13
5/18/13,1/1/13,4/1/13,5/1/13
5/19/13,1/1/13,4/1/13,5/1/13
5/20/13,1/1/13,4/1/13,5/1/13
5/21/13,1/1/13,4/1/13,5/1/13
5/22/13,1/1/13,4/1/13,5/1/13
5/23/13,1/1/13,4/1/13,5/1/13
5/24/13,1/1/13,4/1/13,5/1/13
5/25/13,1/1/13,4/1/13,5/1/13
5/26/13,1/1/13,4/1/13,5/1/13
5/27/13,1/1/13,4/1/13,5/1/13
5/28/13,1/1/13,4/1/13,5/1/13
5/29/13,1/1/13,4/1/13,5/1/13
5/30/13,1/1/13,4/1/13,5/1/13
5/31/13,1/1/13,4/1/13,5/1/13
6/1/13,1/1/13,4/1/13,6/1/13
6/2/13,1/1/13,4/1/13,6/1/13
6/3/13,1/1/13,4/1/13,6/1/13
6/4/13,1/1/13,4/1/13,6/1/13
6/5/13,1/1/13,4/1/13,6/1/13
6/6/13,1/1/13,4/1/13,6/1/13
6/7/13,1/1/13,4/1/13,6/1/13
6/8/13,1/1/13,4/1/13,6/1/13
6/9/13,1/1/13,4/1/13,6/1/13
6/10/13,1/1/13,4/1/13,6/1/13
6/11/13,1/1/13,4/1/13,6/1/13
6/12/13,1/1/13,4/1/13,6/1/13
6/13/13,1/1/13,4/1/13,6/1/13
6/14/13,1/1/13,4/1/13,6/1/13
6/15/13,1/1/13,4/1/13,6/1/13
6/16/13,1/1/13,4/1/13,6/1/13
6/17/13,1/1/13,4/1/13,6/1/13
6/18/13,1/1/13,4/1/13,6/1/13
6/19/13,1/1/13,4/1/13,6/1/13
6/20/13,1/1/13,4/1/13,6/1/13
6/21/13,1/1/13,4/1/13,6/1/13
6/22/13,1/1/13,4/1/13,6/1/13
6/23/13,1/1/13,4/1/13,6/1/13
6/24/13,1/1/13,4/1/13,6/1/13
6/25/13,1/1/13,4/1/13,6/1/13
6/26/13,1/1/13,4/1/13,6/1/13
6/27/13,1/1/13,4/1/13,6/1/13
6/28/13,1/1/13,4/1/13,6/1/13
6/29/13,1/1/13,4/1/13,6/1/13
6/30/13,1/1/13,4/1/13,6/1/13
7/1/13,1/1/13,7/1/13,7/1/13
7/2/13,1/1/13,7/1/13,7/1/13
7/3/13,1/1/13,7/1/13,7/1/13
7/4/13,1/1/13,7/1/13,7/1/13
7/5/13,1/1/13,7/1/13,7/1/13
7/6/13,1/1/13,7/1/13,7/1/13
7/7/13,1/1/13,7/1/13,7/1/13
7/8/13,1/1/13,7/1/13,7/1/13
7/9/13,1/1/13,7/1/13,7/1/13
7/10/13,1/1/13,7/1/13,7/1/13
7/11/13,1/1/13,7/1/13,7/1/13
7/12/13,1/1/13,7/1/13,7/1/13
7/13/13,1/1/13,7/1/13,7/1/13
7/14/13,1/1/13,7/1/13,7/1/13
7/15/13,1/1/13,7/1/13,7/1/13
7/16/13,1/1/13,7/1/13,7/1/13
7/17/13,1/1/13,7/1/13,7/1/13
7/18/13,1/1/13,7/1/13,7/1/13
7/19/13,1/1/13,7/1/13,7/1/13
7/20/13,1/1/13,7/1/13,7/1/13
7/21/13,1/1/13,7/1/13,7/1/13
7/22/13,1/1/13,7/1/13,7/1/13
7/23/13,1/1/13,7/1/13,7/1/13
7/24/13,1/1/13,7/1/13,7/1/13
7/25/13,1/1/13,7/1/13,7/1/13
7/26/13,1/1/13,7/1/13,7/1/13
7/27/13,1/1/13,7/1/13,7/1/13
7/28/13,1/1/13,7/1/13,7/1/13
7/29/13,1/1/13,7/1/13,7/1/13
7/30/13,1/1/13,7/1/13,7/1/13
